text,A,B,C,D,correct
What is the capital of France?,Berlin,Madrid,Paris,Rome,C
Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Saturn,B
What is 7 x 8?,54,56,64,48,B
Who wrote "Romeo and Juliet"?,Charles Dickens,Mark Twain,William Shakespeare,Jane Austen,C
What is the largest ocean on Earth?,Atlantic,Indian,Arctic,Pacific,D
Which gas do plants absorb from the atmosphere?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,B
How many continents are there?,5,6,7,8,C
What is the chemical symbol for gold?,Gd,Au,Ag,Go,B
In which year did the Titanic sink?,1905,1912,1920,1898,B
What is the smallest prime number?,0,1,2,3,C
Which language runs in a web browser?,Java,C++,Python,JavaScript,D
What is the boiling point of water at sea level (Celsius)?,50,90,100,120,C
Who painted the Mona Lisa?,Van Gogh,Picasso,Da Vinci,Rembrandt,C
What is the hardest natural substance?,Gold,Iron,Diamond,Quartz,C
How many sides does a hexagon have?,5,6,7,8,B
What is the currency of Japan?,Yuan,Won,Yen,Ringgit,C
Which organ pumps blood through the body?,Liver,Lungs,Heart,Kidney,C
What is the tallest mountain in the world?,K2,Kilimanjaro,Everest,Denali,C
Which country hosted the 2016 Summer Olympics?,China,Brazil,UK,Russia,B
What does CPU stand for?,Central Process Unit,Computer Personal Unit,Central Processing Unit,Core Processing Unit,C
